Changed;Fighter;String;String_di;
* previously;Jester (Round 3 begin);Hey, it's a dice enemy!||How are you getting on with the dungeons?|Feeling at home yet?||After all, it's not like you're ever gonna leave!;¡En, un dado enemigo!||¿Cómo te las apañas por las mazmorras?|¿Ya te sientes como en casa?||Al fin y al cabo, ¡nunca vas a salir de aquí!;
* previously;Jester (Round 4 begin);Hey, it's a little dice buddy!||Sorry, friend, it's definitely for real time to die.;¡Eh, pero si es mi coleguita, el dado!||Lo siento, ha llegado la hora de morir, ahora sí que sí.;
* previously;Jester (Round 5 begin);What's going on with you dice, anyway?||Why are you still fighting?||Why haven't you been defeated yet?||This can't go on...;Pero bueno, ¿a qué se debe tanta fanfarria?||¿Por qué sigues luchando?||¿Por qué no te han derrotado aún?||Esto no puede seguir así...;
*** new;Bestiary questions - Baby Squid - Happiest moment;When the dice came back to fight again! That was|so nice of them!;***;
*** new;Bestiary questions - Handyman - Favourite book;Pride and Prejudice;***;
*** new;Beatrice;Well, if it isn't another dice!||Or wait, if it's only one of you,|is it 'douse'?|That sounds right. Anyway, welcome|to defeat, douse.;***;
*** new;Beatrice;Hey, I looked it up and apparently 'douse' ISN'T the|singular of dice after all!||In modern usage 'dice' is both singular|and plural. Isn't that sweet!||Now: prepare to dice.;***;
*** new;Beatrice;Oh, it's another dice!||Adorable! Which one are you?||No, don't tell me, I'm not going to remember,|honestly I was only asking to be polite.;***;
*** new;Beatrice;You again! You might trick me once, but I|won't let you trick me, dice.;***;
*** new;Beatrice;Welcome back, sweetie. Time to dice with death?|Hmm, no, just time to death some dice I think.;***;
*** new;Madison;Hi! I'm Madison, and I only have one more fight to win|before I qualify for my 'Beating Dice Easily In|Boss Fights' badge! ;***;
*** new;Buster;You're a dice! Hello! Hello! I love meeting dice!||DID YOU KNOW that DICE rhymes with NICE?||Maybe that's why you're a dice AND nice!|Let's fight!;***;
*** new;Drake;I've got to fight a walking dice?||I'm FOUR HUNDRED and SEVENTY SIX years old.||This is entirely beneath my dignity. But|I guess let's get it over with.;***;
*** new;Drake;Back when I first became a vampire, the people who tried|to fight me would wear top hats and huge petticoats|and they'd come in big horse-drawn carriages.||But now: another big old walking dice.;***;
*** new;Drake;Oh look, it's yet another dice come to fight me.||Well, good luck. I'm almost invulnerable and I'm five|centuries old, so fingers crossed for you I guess. ;***;
*** new;Audrey;Yeah! It's fighting time! Remember: even if you lose, you're|still way ahead of the dice who aren't trying!;***;
