Changed?,String,String_di,Location,Notes,
,NEEDS 1,REQUIERE 1,Combat,Need to place this number in the slot,
,NEEDS 2,REQUIERE 2,Combat,Need to place this number in the slot,
,NEEDS 3,REQUIERE 3,Combat,Need to place this number in the slot,
,NEEDS 4,REQUIERE 4,Combat,Need to place this number in the slot,
,NEEDS 5,REQUIERE 5,Combat,Need to place this number in the slot,
,NEEDS 6,REQUIERE 6,Combat,Need to place this number in the slot,
,MUST EQUAL 2,DEBE SER 2,Combat,These two dice need to total this number,
,MUST EQUAL 3,DEBE SER 3,Combat,These two dice need to total this number,
,MUST EQUAL 4,DEBE SER 4,Combat,These two dice need to total this number,
,MUST EQUAL 5,DEBE SER 5,Combat,These two dice need to total this number,
,MUST EQUAL 6,DEBE SER 6,Combat,These two dice need to total this number,
,MUST EQUAL 7,DEBE SER 7,Combat,These two dice need to total this number,
,MUST EQUAL 8,DEBE SER 8,Combat,These two dice need to total this number,
,MUST EQUAL 9,DEBE SER 9,Combat,These two dice need to total this number,
,MUST EQUAL 10,DEBE SER 10,Combat,These two dice need to total this number,
,MUST EQUAL 11,DEBE SER 11,Combat,These two dice need to total this number,
,MUST EQUAL 12,DEBE SER 12,Combat,These two dice need to total this number,
,Place a dice,Coloca un dado,Combat,,
,to release shock,para descargar,Combat,,
,Place two dice,Coloca dos dados,Combat,,
,to break silence,para romper el silencio,Combat,,
,(single use only),(un único uso),Combat,Written on equipment that can only be used once per battle,
,Spellbook,Grimorio,Combat,Name of the witch's skillcard,
,Cast Spell,Lanzar hechizo,Combat,,
,Do [sword]1 dmg,Hace [sword]1 de daño,Combat,,
,Current Gadget,Artefacto actual,Combat,Name of the inventor's skillcard,
,Current Gadgets,Artefactos actuales,Combat,,
,Warrior Skills,Habilidades del guerrero,Combat,Name of the warrior's skillcard,
,Tweaks,Ajustes,Combat,Shown on the warrior skillcard - allows you to change the value of a dice up or down,
,INNATE,INNATO,Combat,Shown in this context: INNATE: Enemy is weak against poison,
,[;] and,[;],Combat,When showing Innate skills - for joining multiple innates together,
,gets an extra [dice] dice every turn,consigue un [dice] dado extra en cada turno,Combat,Innate text,
,goes first,actúa en primer lugar,Combat,Innate text,
,is immune to fire,es inmune a fuego,Combat,Innate text,
,is immune to poison,es inmune a veneno,Combat,Innate text,
,is strong against poison,es fuerte contra veneno,Combat,Innate text,
,is strong against fire,es fuerte contra fuego,Combat,Innate text,
,absorbs fire,absorbe fuego,Combat,Innate text,
,absorbs poison,absorbe veneno,Combat,Innate text,
,is weak to poison,es débil a veneno,Combat,Innate text,
,is weak to fire,es débil a fuego,Combat,Innate text,
,is weak to ice,es débil a hielo,Combat,Innate text,
,can only be killed with a wooden stake,solo se puede matar con una estaca de madera,Combat,Innate text,
,is shocked every turn,se electrocuta en cada turno,Combat,Innate text,
,Back to Title,Menú principal,Editor,Button: Back to title screen,
,Random,Aleatorio,Editor,Button: Choose a random enemy in the editor,
,Change,Cambiar,Editor,Button: Change either the player or the enemy in the editor,
,(warning: changing characters resets them),(aviso: cambiar a los personajes los restablece),Editor,,
,Current player,Jugador actual,Editor,,
,Inventory,Inventario,Editor,Button: Access player inventory in editor,
,Give Item,Dar objeto,Editor,Button: Give the player an item,
,Upgrade,Mejorar,Editor,Button: Upgrade some player equipment,
,Level Up,Subir nivel,Editor,Button: Level up in the editor,
,More Dice,Más dados,Editor,Button: Give the player more dice,
,Less Dice,Menos dados,Editor,Button: Give the player less dice,
,More HP,Más PS,Editor,Button: Give the player more hp,
,Less HP,Menos PS,Editor,Button: Give the player less HP,
,Learn spell,Aprender hechizo,Editor,Button: Learn a spell as the witch,
,Guilds (max 1):,Gremios (máx. 1):,Editor,,
,Guild of Power,Gremio del Poder,Editor,,
,Guild of Greed,Gremio de la Codicia,Editor,,
,Guild of Sacrifice,Gremio del Sacrificio,Editor,,
,Assassin's Guild,Gremio de asesinos,Editor,,
,Innovator's Guild,Gremio de pioneros,Editor,,
,Sorceress Guild,Gremio de brujas,Editor,,
,All,Todo,Editor,Category of items: Show everything,
,Weapons,Armas,Editor,Category of items: Show just weapons,
,Shields,Escudos,Editor,Category of items: Show just shields,
,Magic,Magia,Editor,Category of items: Show just magic,
,Items,Objetos,Editor,Category of items: Show just items,
,Custom,Personalizado,Editor,Category of items: Show custom equipment,
,Upgraded?,¿Mejorado?,Editor,Show the upgraded version of this equipment,
,Preview upgrade?,¿Visualizar mejora?,Spellbook,Toggle to preview the upgraded version of a spell,
,Change Spell,Cambiar hechizo,Spellbook,Button: Change the prepared spell,
,Ok,Ok,Equipment Menu,Button: Confirm,
,Equip it now,Equipar ahora,Equipment Menu,Button: Equip the thing you found,
,Backpack,Mochila,Equipment Menu,Button: Open your backpack from an equipment screen,
,Ignore it,Ignorarlo,Equipment Menu,Button: Don't collect the equipment,
,Victory! You throw away your boring old gadget. You are inspired to create a new gadget!,¡Victoria! Te has deshecho de tu viejo artefacto. ¡Estás inspirada para crear un artefacto nuevo!,Inventor battle victory,,
,Choose an item to [yellow]destroy for parts[]!,¡Elige un objeto para [yellow]destruirlo y sacar piezas[]!,Inventor battle victory,,
,Make this!,¡Haz esto!,Inventor battle victory,,
,(No space left),(No queda espacio),Shop,,
,Bear,Oso,Special Enemy,,
,Cost [heart]2,Cuesta [heart]2,Warrior Skillcard,,
,Health Restored! Max Health +[heart]5!,¡Salud restaurada! ¡Salud máxima +[heart]5!,Level up,,
,An extra dice,Un dado extra,Level up,,
,Take,Coger,Level up,Button: Take Level up perk,
,Would you like to buy something?,¿Quieres comprar algo?,Shop,,
,Buy,Comprar,Shop,Button: Buy something,
,Exit,Salir,Shop,Button: Leave the shop,
,Leave,Abandonar,Shop,Button: Leave the guild,
,v0.10.2[;] 12th July 2018 [yellow](itch.io)[],v0.10.2[;] 12 de julio de 2018 [yellow](itch.io)[],Title Screen,Current build info,
,Title Screen,Pantalla de título,Music Credits,Button (go back to the title screen),
,player,jugador,Editor,Default text when no player is selected,
,enemy,enemigo,Editor,Default text when no enemy is selected,
,Current player: {selectedplayer},Jugador actual: {selectedplayer},Editor,e.g. Current Player: Warrior,
,Current enemy: {currentenemy},Enemigo actual: {currentenemy},Editor,e.g. Current Player: Banshee,
,None,Nada,Editor,Used in above strings if no player or monster is selected,
,ERROR! ERROR! ERROR!,¡ERROR! ¡ERROR! ¡ERROR!,Character Selection,Robot description,
,Out of bounds exception!,¡Excepción fuera de los límites!,Character Selection,Robot description,
,Difficulty,Dificultad,Character Selection,How complex the character is to play (Warrior is 1 star – Witch is 5),
,CPU,CPU,Combat,Robot‘s dice rolling mechanic - displayed beside gold - health and level info in the bottom left corner,
,Calculate,Calcular,Combat,Robot skill – rolls an extra dice,
,TARGET,OBJETIVO,Combat,Robot skill – try to roll below or equal to this number,
,Target,Objetivo,Combat,Robot skill – try to roll below or equal to this number,
,ERROR,ERROR,Combat,Robot skill – if you go over the target,
,Error,Error,Combat,Robot skill – if you go over the target,
,JACKPOT,BOTE,Combat,Robot skill – if you hit the target exactly,
,Jackpot,Bote,Combat,Robot skill – if you hit the target exactly,
,Jackpot,Bote,Combat,Lowercase – used in the title of the skillcard when you hit the target exactly,
,is immune to burn[;] shock[;] and freeze,es inmune a quemadura[;] carga y congelación,Combat,Innate text,
,{player} wins! Found [gold]{goldfound} Gold and [yellow]{expamount} [star]!,¡{player} ha vencido! ¡Has encontrado [gold]{goldfound} de oro y [yellow]{expamount} [star]!,Combat,Message shown when player wins combat,
,{nextlevel} [star] to level up,{nextlevel} [star] para subir de nivel,Combat,Shows how many stars until next level up,
,You are at max level!,¡Has alcanzado el nivel máximo!,Level up,,
,Health Restored! Max Health +[heart]5!,¡Salud restaurada! ¡Salud máxima +[heart]5!,Level up,,
,Congratulations! You are now level {playerlevel}!,¡Enhorabuena! ¡Has alcanzado el nivel {playerlevel}!,Level up,,
,Choose ONE additional reward,Elige UNA recompensa adicional,Level up,,
,{playername} level {playerlevel},{playername} nivel {playerlevel},Level up,Shown on level up screen: e.g. Warrior Level 2,
,LIMIT,LÍMITE,Combat,Show below limit break bar,
,What do you want to do?,¿Qué quieres hacer?,Found Item,Choose an option between pickup backback and leave,
,[yellow]When activated:,[yellow]Cuando se active:,Found Item,Special robot equipment: needs to roll a certain number of dice before it works,
,Select a spell,Elige un hechizo,Found Spell,Two lines,
,to replace,para reemplazarlo,Found Spell,Two lines,
,You have found a new spell!,¡Has encontrado un hechizo nuevo!,Found Spell,,
,You have found {item}!,Has encontrado: {item},Found Item,,
,Empty Slot,Espacio vacío,Spellbook,,
,Game by Terry Cavanagh,Un juego de Terry Cavanagh,Credits,,
,Music by Chipzel,Música de Chipzel,Credits,,
,Art by Marlowe Dobbe,Arte de Marlowe Dobbe,Credits,,
,Learn Spell,Aprender hechizo,Spellbook,,
,Select a spell to replace,Elige un hechizo para reemplazarlo,Spellbook,,
,Bear Smash!,¡Oso rompe!,Map Screen,Appears when bear attempts to do anything,
,Roar,Rugido,Map Screen,Appears instead of inventory button for bear,
,No space left,No queda espacio,Found Item,If you do not have space in your equipment slots for the item,
,You have found the [yellow]{guildname}[]!,¡Has encontrado el [yellow]{guildname}[]!,Guild menu,This text appears when you find a guild - for example – You have found the Guild of Greed! or You have found the Sorceress Guild!,
,cannot undo,no se puede deshacer,Guild menu,a warning that you are unable to undo joining a guild,
,[heart]{hp} Extra Health,[heart]{hp} de salud extra,Level up reward,,
,YOU RECEIVE,¡RECIBES,Level up reward,,
,Copy Equipment,Copiar equipo,Level up reward,,
,Prepared Spell Slot,Espacio de hechizo listo,Level up reward,,
,prepared slot,espacio listo,Level up reward,,
,Upgraded Spell Slot,Espacio de hechizo listo,Level up reward,,
,upgraded,mejorado,Level up reward,,
,Equipment Upgrade,Mejora de equipo,Level up reward,,
,Restore [heart]10 HP,Restaura [heart]10 PS,Level up reward,,
,+{extracpu} extra CPU,+{extracpu} CPU extras,Level up reward,,
,An extra dice,Un dado extra,Level up reward,,
,Activating...,Activando...,Robot,,
,Roll any {x} dice,Lanza cualquier dado {x},Robot,,
,to activate,para activar,Robot,,
,Select equipment to upgrade,Elige el equipo para mejorarlo,Equipment Upgrading,,
,{equipname} cannot be upgraded any further.,{equipname} no se puede mejorar más.,Equipment Upgrading,,
,{equipname} cannot be upgraded.,{equipname} no se puede mejorar.,Equipment Upgrading,,
,Upgrading {equipname} {upgradedescription}.,Mejorar {equipname} {upgradedescription}.,Equipment Upgrading,,
,reduces its size,reduce su tamaño,Equipment Upgrading,,
,reduces its countdown,reduce su contador,Equipment Upgrading,,
,makes it more powerful,lo hace más potente,Equipment Upgrading,,
,increases its poison damage,aumenta su daño de veneno,Equipment Upgrading,,
,makes it easier to play,hace que sea más fácil jugarlo,Equipment Upgrading,,
,allows it to use larger dice,permite usar un dado mayor,Equipment Upgrading,,
,lowers its cost to play,reduce su coste al jugarlo,Equipment Upgrading,,
,converts it into a countdown,lo convierte en un contador,Equipment Upgrading,,
,changes its return damage to a constant [sword]3,cambia el daño que devuelve a un [sword]3 permanente,Equipment Upgrading,,
,gives a clue to how it works,da una pista de cómo funciona,Equipment Upgrading,,
,reduces its power,reduce su potencia,Equipment Upgrading,,
,allows you to use it every turn,te permite usarlo en cada turno,Equipment Upgrading,,
,makes it reuseable,lo hace reutilizable,Equipment Upgrading,,
,adds a bonus 1 to it,añade un bonus de 1,Equipment Upgrading,,
,adds a bonus 2 to it,añade un bonus de 2,Equipment Upgrading,,
,adds a bonus 3 to it,añade un bonus de 3,Equipment Upgrading,,
,adds a bonus 4 to it,añade un bonus de 4,Equipment Upgrading,,
,adds a bonus 5 to it,añade un bonus de 5,Equipment Upgrading,,
,adds a bonus 6 to it,añade un bonus de 6,Equipment Upgrading,,
,[gray](One use this turn),[gray](1 uso este turno),Multi use equipment,,
,[gray](2 uses this turn),[gray](2 usos este turno),Multi use equipment,,
,[gray](3 uses this turn),[gray](3 usos este turno),Multi use equipment,,
,[gray](4 uses this turn),[gray](4 usos este turno),Multi use equipment,,
,[gray](5 uses this turn),[gray](5 usos este turno),Multi use equipment,,
,[gray](6 uses this turn),[gray](6 usos este turno),Multi use equipment,,
,[gray](7 uses this turn),[gray](7 usos este turno),Multi use equipment,,
,[gray](8 uses this turn),[gray](8 usos este turno),Multi use equipment,,
,[gray](9 uses this turn),[gray](9 usos este turno),Multi use equipment,,
,[gray](10 uses this turn),[gray](10 usos este turno),Multi use equipment,,
,[gray]({usesleft} uses this turn),[gray](usos en este turno: {usesleft}),Multi use equipment,,
,{playername} was defeated...,{playername} ha sufrido una derrota...,Combat,,
,Equipment upgraded!,¡Equipo mejorado!,Equipment Upgrading,,
,Cost: [gold]{cost} gold,Coste: [gold]{cost} de oro,Shop,The cost of items in a shop,
,[heart] {hp} health,[heart] {hp} de salud,Map Screen,Health gained from eating an apple,
,Dicey Dungeons,Dicey Dungeons,General,The game’s title as used on the title screen. Talk to me about this!,
,Miscellaneous bug fixes.,Varias correcciones de errores.,General,,
,Fixed critical bugs.,Errores críticos corregidos.,General,,
,English,Inglés,Language,as it would appear in a language selection menu,
,Irish,Irlandés,Language,as it would appear in a language selection menu,
,German,Alemán,Language,as it would appear in a language selection menu,
,Spanish,Español,Language,as it would appear in a language selection menu,
,Italian,Italiano,Language,as it would appear in a language selection menu,
,French,Francés,Language,as it would appear in a language selection menu,
,Portuguese,Portugués,Language,as it would appear in a language selection menu,
,Latin American Spanish,Español latinoamericano,Language,as it would appear in a language selection menu,
,Brazilian Portuguese,Portugués de Brasil,Language,as it would appear in a language selection menu,
,Russian,Ruso,Language,as it would appear in a language selection menu,
,Korean,Coreano,Language,as it would appear in a language selection menu,
,Japanese,Japonés,Language,as it would appear in a language selection menu,
,Simplified Chinese,Chino simplificado,Language,as it would appear in a language selection menu,
,Traditional Chinese,Chino tradicional,Language,as it would appear in a language selection menu,
,Turkish,Turco,Language,as it would appear in a language selection menu,
,Ukrainian,Ucraniano,Language,as it would appear in a language selection menu,
,Polish,Polaco,Language,as it would appear in a language selection menu,
,Swedish,Sueco,Language,as it would appear in a language selection menu,
,Norwegian,Noruego,Language,as it would appear in a language selection menu,
,Dutch,Neerlandés,Language,as it would appear in a language selection menu,
,Danish,Danés,Language,as it would appear in a language selection menu,
,End Turn,Fin del turno,Combat,Click this to end your turn,
,Flee,Huir,Flee,Click this to attempt to run away from battle,
,Place dice anywhere,Coloca el dado en cualquier,Combat,Witch's spellbook tutorial text (1/3),
,on the Spellbook to,lugar del Grimorio,Combat,Witch's spellbook tutorial text (2/3),
,create equipment,para crear equipo,Combat,Witch's spellbook tutorial text (3/3),
,Yay[;] congratulations! You've completed the alpha!,¡Hurra! ¡Enhorabuena! ¡Has completado la versión alfa!,End Screen,Text displayed when you complete the dungeon with any character (1/7),
,Dicey Dungeons is still a work in progress[;] and stuff is changing all,Todavía estamos trabajando en Dicey Dungeons y el contenido cambia,End Screen,Text displayed when you complete the dungeon with any character (2/7),
,the time. Check back again in a few weeks to see what's new!,continuamente. ¡Echa un vistazo en un par de semanas para ver las novedades!,End Screen,Text displayed when you complete the dungeon with any character (3/7),
,If you want to keep up with the latest versions[;] you,Si quieres estar al tanto de las versiones más recientes[;],End Screen,Text displayed when you complete the dungeon with any character (4/7),
,can follow me on [yellow]itch.io[][;] on twitter ([yellow]@terrycavanagh[])[;],puedes seguirme en [yellow]itch.io[][;] en Twitter ([yellow]@terrycavanagh[]),End Screen,Text displayed when you complete the dungeon with any character (5/7),
,or join the discord (at [yellow]diceydungeons.com[]).,o unirte a Discord (en [yellow]diceydungeons.com[]).,End Screen,Text displayed when you complete the dungeon with any character (6/7),
,Thanks for playing! [heart] Terry,¡Gracias por jugar! [heart] Terry,End Screen,Text displayed when you complete the dungeon with any character (7/7),
,Play again,Jugar otra vez,End Screen,Button to return to the title screen from the game complete screen,
,Welcome to the Dicey Dungeons Editor!,¡Te damos la bienvenida al editor de Dicey Dungeons!,Editor,Warning displayed when you start the editor,
,Beware. This spoils THE WHOLE game.,Atención: el editor te arruinará TODAS las sorpresas del juego.,Editor,Warning displayed when you start the editor,
,Proceed at your own peril!,¡Tú sabrás lo que haces!,Editor,Warning displayed when you start the editor,
,I understand!,¡Entendido!,Editor,Radio button that you need to toggle before you can use the editor,
,is immune to freeze,es inmune a congelación,Combat,Innate text,
,A copy has been added to your backpack!,¡Se ha añadido una copia a tu mochila!,Equipment Copying,Similar to equipment upgrading - makes a copy of selected equipment,
,Select item to copy,Elige el objeto para copiarlo,Equipment Copying,Similar to equipment upgrading - makes a copy of selected equipment,
,Make a copy of {equipname},Hace una copia de {equipname},Equipment Copying,Similar to equipment upgrading - makes a copy of selected equipment,
,{playername} fled...,{playername} ha huido...,Combat,Displayed when you successfully run away,
,{playername} attempts to flee!,¡{playername} intenta huir!,Combat,Displayed when you attempt to run away,
,New Gadget,Nuevo artefacto,Combat,Shown when an inventor is offered a new gadget,
,Cannot upgrade,No se puede mejorar,Equipment Upgrading,,
,Select a slot,Elige un espacio,Spellbook,Shown above spells when you cast a spell and need to choose a slot for it,
,Immune,Inmune,Combat,Used in various places when an attack has no effect,
,Arabic,Árabe,Language,as it would appear in a language selection menu,
,Mods,Mods,Title Screen,Opens the Modding screen (for custom modifications to the game),
,New Mod,Mod nuevo,Mods Screen,Create a new mod,
,Mods to load,Mods que se cargarán,Mods Screen,A list of available modifications to load,
,Click to inspect,Clic para inspeccionar,Mods Screen,Instructions – click to examine this mod,
,Selected Mod,Mod seleccionado,Mods Screen,Currently selected mod,
,Load Mod(s),Cargar mod(s),Mods Screen,On button – click this to load mods,
,Installed Mods,Mods instalados,Mods Screen,A list of mods that are currently installed,
,Click to add/remove,Clic para añadir/quitar,Mods Screen,Shown under Installed Mods list,
,Move Up,Subir,Mods Screen,Move this mod up in the mods list,
,Move Down,Bajar,Mods Screen,Move this mod down in the mods list,
,Actions,Acciones,Editor,A list of actions you can take with this character in the editor,
,Make Gadget,Crear artefacto,Editor,Button – make a gadget as inventor,
,Dice,Dado,Editor,Can’t believe this wasn’t in here until now!,
,Health,Salud,Editor,,
,Gadget,Artefacto,Editor,,
,SPELL SLOTS: NO SPELLS PREPARED,ESPACIOS DE HECHIZO: SIN HECHIZOS PREPARADOS,Witch Spellbook,,
,SPELL SLOTS: ONE SPELL PREPARED,ESPACIOS DE HECHIZO: UN HECHIZO PREPARADO,Witch Spellbook,,
,SPELL SLOTS: TWO SPELLS PREPARED,ESPACIOS DE HECHIZO: DOS HECHIZOS PREPARADOS,Witch Spellbook,,
,Fight!,¡A luchar!,Editor,,
,Level 1,Nivel 1,Editor,,
,Level 2,Nivel 2,Editor,,
,Level 3,Nivel 3,Editor,,
,Level 4,Nivel 4,Editor,,
,Level 5,Nivel 5,Editor,,
,Add New,Añadir nuevo,Editor,,
,Name,Nombre,Editor,Name of custom enemy,
,*** CANNOT UNDO ***,*** NO SE PUEDE DESHACER ***,Editor,,
,Innate,Innato,Editor,Button text,
,File,Archivo,Editor,Button text,
,Overwrite all stats with template:,Sobrescribir todas las estadísticas con plantilla:,Editor,,
,Overwrite,Sobrescribir,Editor,Button text,
,DELETE,BORRAR,Editor,Button text,
,is burnt every turn,se quema en cada turno,Combat,Innate text,
,Innate Abilities (max 2):,Habilidades innatas (máx. 2):,Editor,,
,Edit,Editar,Editor,Button text,
,Sprite,Sprite,Editor,,
,Try out the Jester! (alpha),¡Prueba al bufón! (alfa),Character Selection,Temporary character select description for Jester,
,Deck,Baraja,Map Screen,The jester has a deck instead of an inventory,
,{currentcard}/{totalcards} cards,{currentcard}/{totalcards} cartas,Jester View Deck,for example – 5/14 cards would mean that you have selected card 5 of 14 total,
,Select a card to copy,Elige una carta para copiarla,Jester Copy Card Screen,,
,Copy,Copiar,Jester Copy Card Screen,Button text,
,{copiedcard} copied!,¡{copiedcard} se ha copiado!,Jester Copy Card Screen,Example – Sword copied!,
,Oh no! You've got no cards left!,¡Oh[;] no! ¡No te quedan cartas!,Jester View Deck,,
,Select a card to destroy,Elige una carta para destruirla,Jester Destroy Card Screen,,
,Destroy,Destruir,Jester Destroy Card Screen,Button text,
,{destroyedcard} destroyed!,¡{destroyedcard} se ha destruido!,Jester Destroy Card Screen,Example – Sword destroyed!,
,Select a card to upgrade,Elige una carta para mejorarla,Jester Upgrade Card Screen,,
,Upgrade {upgradedcard}?,¿Mejorar {upgradedcard}?,Jester Upgrade Card Screen,Example – Update Sword?,
,{upgradedcard} upgraded!,¡{upgradedcard} se ha mejorado!,Jester Upgrade Card Screen,Example – Sword upgraded!,
,Add to deck,Añadir a la baraja,Found Item,When the Jester finds a card click this button to add it to their deck,
,Next up,Siguiente,Jester Combat,Shown above a list of cards coming up next,
,({remainingcards} left),(Cartas restantes: {remainingcards}),Jester Combat,Shows the number of cards left in the Jester’s deck,
,Snap!,¡Carambola!,Jester Combat,Name of the Jester ability – trades in two matching cards for dice,
,Exchange matching,Cambia cartas,Jester Combat,Jester combat abilty description (1 / 2),
,cards for dice,coincidentes por dados,Jester Combat,Jester combat abilty description (2 / 2),
,Destroy a card,Destruir una carta,Shop,One of the things the Jester can buy in shops is the ability to destroy a card from their deck,
,Give Card,Dar carta,Editor,Button text for Jester,
,Copy Card,Copiar,Editor,Button text for Jester,
,Delete Card,Borrar carta,Editor,Button text for Jester,
,Upgrade Card,Mejorar carta,Editor,Button text for Jester,
,Silesian,Silesio,Language,as it would appear in a language selection menu,
,Finders Keepers! Choose one piece of equipment to keep:,¡Si lo encuentras[;] te lo quedas! Elige una pieza de equipo para quedártela:,Combat,Special thief rules,
,The Warrior's Welcome,La bienvenida del guerrero,Quests,Warrior Quest name,
,A straightforward adventure for a straightforward warrior.,Una aventura directa para un guerrero directo.,Quests,Warrior Quest Description,
,This'll be Fine,Todo va a salir bien,Quests,Warrior Quest name,
,You've got two battle axes and all your equipment is|upgraded! Awesome! Also[;] you're extremely cursed!,¡Tienes dos hachas de batalla y todo tu equipo está mejorado! ¡Genial!|¡Bueno[;] y sufres una terrible maldición!,Quests,Warrior Quest Description,
,Vampiric Tendencies,Tendencias vampíricas,Quests,Warrior Quest name,
,By consuming the blood of your enemies[;] you can totally make up|for the slow but inevitable decline of your maximum health.,Al consumir la sangre de tus enemigos puedes compensar|el lento pero inevitable declive de tu salud máxima.,Quests,Warrior Quest Description,
,Thief in the Night,Ladrón de la noche,Quests,Thief Quest name,
,Business as usual: get in[;] rob a few enemies[;] defeat the|boss[;] get out.,El negocio de siempre: entrar[;] robarles a los enemigos[;] vencer al jefe[;] salir.,Quests,Thief Quest Description,
,Finders Keepers,Si lo encuentras[;] te lo quedas,Quests,Thief Quest name,
,Get those pickpocketing fingers ready - this time[;] you're|stealing for keeps.,Prepara esos deditos de carterista: en esta ocasión[;] si lo robas|te lo quedas.,Quests,Thief Quest Description,
,Uptick,Repunte,Quests,Thief Quest name,
,On your first turn[;] all your dice roll 1. On your second[;]|they roll 2. Third time lucky? Nope[;] third time you roll a 3.,En tu primer turno sacas un 1 en todos los dados. En el segundo[;] sacas 2.|¿A la tercera va la vencida? Pues no[;] a la tercera sacas un 3.,Quests,Thief Quest Description,
,Rise of the Robot,Rebelión robótica,Quests,Robot Quest name,
,Nothing fancy: just calculation and altercation.,Nada de alardes: puro cálculo y disputas.,Quests,Robot Quest Description,
,No Going Back,No hay vuelta atrás,Quests,Robot Quest name,
,The rational division of labour massively increases efficiency.|So it definitely makes sense to roll all your dice before you|start using equipment. ,La división razonable del trabajo aumenta la eficiencia enormemente.|Sin duda tiene sentido lanzar todos tus dados antes de empezar a usar|equipo. ,Quests,Robot Quest Description,
,You Choose[;] You Lose,Tú eliges[;] tú pierdes,Quests,Robot Quest name,
,Woah[;] now you can create dice with any value you want! Sure[;] you|lose some equipment each time you do. But still[;] any dice you want!,¡Guau[;] ahora puedes crear dados con el valor que quieras! Vale[;] perderás|algo de equipo cada vez que lo hagas[;] pero oye[;] ¡el dado que quieras!,Quests,Robot Quest Description,
,Enter the Inventor,Inventora en la sala,Quests,Inventor Quest name,
,Manage your inventory the Inventor-y way: turn those|boring old swords and shields into neat little gadgets!,Gestiona tu inventario con un buen inventor-iador: ¡transforma |espadas y escudos viejos en artefactos punteros!,Quests,Inventor Quest Description,
,Double Rubble,Cacharro duplicado,Quests,Inventor Quest name,
,There's so much equipment lying around - why make one|gadget after each combat when you can make two? Wait[;]|not [quote][]can[quote][] - [quote][]must[quote][][;] that's the word.,Hay mucho equipo por ahí tirado: ¿por qué hacer un artefacto tras|cada combate cuando puedes hacer dos?||Espera[;] no[quote][]puedes[quote][]... [quote][]debes[quote][][;] esa es la palabra.,Quests,Inventor Quest Description,
,The Inevitability of Rust,La inevitabilidad del óxido,Quests,Inventor Quest name,
